"school","sex","age","address","famsize","Pstatus","Medu","Fedu","Mjob","Fjob","reason","guardian","traveltime","studytime","failures","schoolsup","famsup","paid","activities","nursery","higher","internet","romantic","famrel","freetime","goout","Dalc","Walc","health","absences","G1","G2","G3"
"GP","F",15,"U","LE3","A",4,3,"other","other","course","mother",2.65854500280693,3.14025791990571,0,"yes","yes","yes","yes","yes","yes","yes","yes",5,2,2,1,1,5,4,10,11,11
"GP","F",16,"U","LE3","A",3,3,"other","services","home","mother",8.93422177108005,4.03267997479998,0,"no","yes","no","no","yes","yes","yes","no",2,3,5,1,4,3,6,13,12,13
"GP","M",16,"U","GT3","T",4,3,"health","services","reputation","mother",7.8931205002591,13.4470318374224,0,"no","no","no","yes","yes","yes","yes","no",4,2,2,1,1,2,2,17,17,17
"GP","M",15,"U","GT3","T",4,2,"teacher","other","home","mother",1.22297407500446,3.82150665274821,0,"no","yes","no","no","yes","yes","no","no",4,3,3,2,2,5,4,11,12,13
"GP","F",15,"U","GT3","T",4,4,"services","teacher","other","father",4.39065042184666,4.68605450284667,0,"yes","yes","no","yes","no","yes","yes","no",4,4,4,1,1,3,2,13,12,12
"GP","F",16,"U","LE3","T",2,2,"services","services","course","mother",55.5164354131557,3.13021508115344,0,"no","yes","no","no","yes","yes","yes","no",4,3,3,2,3,4,0,14,13,13
"GP","F",15,"U","LE3","T",4,2,"health","other","other","mother",13.100184764713,2.88638785923831,0,"no","yes","no","no","yes","yes","yes","no",4,3,3,1,1,5,0,16,14,16
"GP","M",15,"U","LE3","A",4,2,"health","health","other","father",15.620554802008,1.41197301959619,0,"no","no","no","no","yes","yes","no","no",5,5,5,3,4,5,4,10,9,9
"GP","F",15,"U","GT3","T",4,4,"services","services","course","mother",7.21099082566798,1.0800206263084,0,"yes","yes","no","no","yes","yes","yes","no",3,3,4,2,3,5,0,13,12,12
"GP","F",15,"U","LE3","A",3,3,"other","other","other","mother",9.67687513539568,1.0311537317466,0,"no","no","no","no","yes","yes","yes","no",5,3,4,4,4,1,0,13,12,13
"GP","F",16,"U","GT3","A",2,1,"other","other","other","mother",3.22698953188956,4.6753925033845,0,"no","no","no","yes","yes","yes","yes","yes",5,3,4,1,1,2,2,12,13,12
"GP","F",15,"U","GT3","A",4,3,"services","services","reputation","mother",10.2252562306821,3.41766911232844,0,"no","yes","no","yes","yes","yes","yes","no",4,3,2,1,1,1,0,15,14,15
"GP","M",15,"U","GT3","T",4,4,"teacher","health","reputation","mother",4.67511735903099,3.33639638964087,0,"no","yes","no","yes","yes","yes","no","no",3,2,2,1,1,5,8,15,15,16
"GP","M",15,"U","LE3","T",1,2,"other","at_home","home","father",9.61730578029528,3.16102343471721,0,"yes","yes","no","yes","yes","yes","yes","no",4,3,2,1,1,5,0,14,13,14
"GP","F",16,"U","GT3","T",4,2,"services","other","course","mother",6.69892698479816,2.36230734968558,0,"no","yes","yes","no","yes","yes","yes","no",4,2,3,1,1,5,2,16,15,16
"GP","F",16,"R","GT3","T",4,4,"health","teacher","other","mother",1.63899948261678,4.22993264743127,0,"no","yes","no","yes","yes","yes","no","no",2,4,4,2,3,4,0,17,16,16
"GP","F",16,"U","GT3","T",1,1,"services","services","course","father",101.64352462627,1.91031752014533,0,"yes","yes","no","yes","no","yes","yes","yes",5,5,5,5,5,5,0,10,10,16
"GP","F",16,"U","LE3","T",1,2,"other","services","reputation","father",14.3426765291952,3.94267720030621,0,"yes","no","no","yes","yes","yes","yes","no",4,4,3,1,1,1,0,13,13,10
"GP","F",16,"U","GT3","T",4,3,"teacher","health","home","mother",6.10495019238442,8.56657833559439,0,"yes","yes","no","yes","yes","yes","yes","no",3,4,4,2,4,4,0,14,13,13
"GP","F",15,"U","LE3","T",4,3,"services","services","reputation","father",14.4610759946518,4.19126723962836,0,"yes","no","no","yes","yes","yes","yes","yes",4,4,4,2,4,2,0,13,12,12
"GP","F",16,"U","LE3","T",4,3,"teacher","services","course","mother",56.8030099442694,4.03010722226463,0,"no","yes","no","yes","yes","yes","yes","no",5,4,3,1,2,1,2,16,15,16
"GP","M",15,"U","GT3","A",4,4,"other","services","reputation","mother",11.6907229470089,11.215920120012,0,"no","yes","no","yes","no","yes","yes","yes",1,3,3,5,5,3,0,11,12,12
"GP","F",16,"U","GT3","T",3,1,"services","other","course","mother",4.62687651533633,11.0511393181514,0,"yes","yes","no","no","yes","yes","yes","no",4,3,3,1,2,5,0,10,9,10
"GP","F",15,"R","LE3","T",2,2,"health","services","reputation","mother",24.4941663590726,4.13634340255521,0,"yes","yes","no","no","yes","yes","yes","no",4,1,3,1,3,4,0,11,10,11
"GP","F",15,"R","LE3","T",3,1,"other","other","reputation","father",23.5073641128838,14.6609988505952,0,"no","yes","no","no","no","yes","yes","no",4,4,2,2,3,3,6,15,15,15
"GP","M",16,"U","GT3","T",3,1,"other","other","reputation","father",15.7575192453805,10.2526398620103,0,"no","yes","no","no","yes","yes","yes","no",4,3,2,1,1,5,2,13,11,11
"GP","M",15,"U","GT3","T",4,2,"other","other","course","mother",5.18418715568259,14.8653391248081,0,"no","no","no","no","yes","yes","yes","no",3,3,3,1,1,3,0,11,9,10
"GP","F",15,"R","GT3","T",1,1,"other","other","reputation","mother",7.97015216061845,2.95921701099724,0,"yes","yes","no","no","no","yes","yes","yes",3,3,4,2,4,5,2,13,11,11
"GP","M",16,"U","GT3","T",3,1,"other","other","reputation","mother",4.86929729580879,1.21204349421896,0,"no","no","no","yes","yes","yes","no","no",5,3,2,2,2,5,0,13,13,14
"GP","F",16,"U","GT3","T",3,3,"other","services","home","mother",6.57511595496908,2.82262835279107,0,"yes","yes","no","yes","yes","yes","yes","no",4,3,3,2,4,5,4,11,11,11
"GP","M",15,"U","GT3","T",4,3,"teacher","other","home","mother",1.66236883541569,3.14810156240128,0,"no","yes","no","yes","yes","yes","yes","no",4,3,3,2,3,5,0,11,11,11
"GP","M",15,"U","GT3","T",4,0,"teacher","other","course","mother",16.8143836059608,13.3114126406144,0,"no","no","no","yes","yes","yes","yes","no",3,4,3,1,1,1,0,12,11,11
"GP","F",16,"U","GT3","T",2,2,"other","other","reputation","mother",10.5045572360978,14.321189065231,0,"no","no","no","no","yes","yes","yes","yes",5,2,3,1,3,3,1,13,13,13
"GP","M",17,"U","GT3","T",2,1,"other","other","home","mother",21.2753692071419,1.93778458982706,3,"yes","yes","no","yes","yes","no","yes","no",4,5,1,1,1,3,0,9,9,10
"GP","F",16,"U","GT3","T",3,4,"at_home","other","course","mother",2.85218598600477,3.21725813788362,0,"no","yes","no","no","yes","yes","yes","no",2,4,3,1,2,3,14,12,11,11
"GP","M",15,"U","GT3","T",2,3,"other","services","course","father",4.07206900604069,1.17781801358797,0,"yes","yes","no","yes","no","yes","yes","yes",3,2,2,1,3,3,0,11,11,12
"GP","M",15,"U","GT3","T",2,3,"other","other","home","mother",11.1350878928788,9.78152421186678,0,"yes","no","no","no","no","yes","yes","no",5,3,2,1,2,5,2,10,9,9
"GP","F",15,"U","LE3","T",3,2,"services","other","reputation","mother",14.5320975282229,3.45367820141837,0,"no","yes","no","no","yes","yes","yes","no",4,4,4,1,1,5,4,12,11,11
"GP","M",15,"U","LE3","T",2,2,"services","services","home","mother",18.1483441055752,2.32011168822646,0,"no","no","yes","yes","yes","yes","yes","no",5,3,3,1,3,4,2,13,12,13
"GP","F",15,"U","GT3","T",1,1,"other","other","home","father",5.62964346352965,4.3478247099556,0,"no","yes","no","yes","no","yes","yes","no",4,3,2,2,3,4,2,13,12,12
"GP","F",15,"U","GT3","T",4,4,"services","services","reputation","father",29.527202588506,4.70896103582345,0,"no","no","no","no","yes","yes","yes","yes",4,4,4,2,3,5,4,12,11,12
"GP","F",16,"U","LE3","T",2,2,"at_home","other","course","mother",12.8807591348886,4.85348627576604,0,"no","yes","no","no","yes","yes","no","no",4,3,4,1,2,2,6,13,11,11
"GP","F",15,"U","GT3","T",4,2,"other","other","reputation","mother",9.83965150639415,6.73900897498243,0,"no","yes","no","yes","yes","yes","yes","no",5,3,3,1,3,1,4,15,15,15
"GP","M",16,"U","GT3","T",2,2,"services","other","reputation","father",18.5211437917314,3.17604266037233,0,"no","no","no","yes","no","yes","yes","no",4,4,2,1,1,3,6,12,10,11
"GP","M",16,"U","LE3","A",4,4,"teacher","health","reputation","mother",10.4622161253355,4.20937641407363,0,"no","yes","no","no","yes","yes","no","no",4,1,3,3,5,5,6,9,9,10
"GP","F",16,"U","GT3","T",3,3,"other","other","home","mother",10.4487246642821,5.37140962900594,0,"no","yes","no","no","yes","yes","yes","yes",4,3,3,1,3,4,2,9,11,11
"GP","F",15,"U","GT3","T",4,3,"services","other","reputation","mother",2.44590576412156,1.6633972034324,0,"no","no","no","yes","yes","yes","yes","no",4,5,5,1,3,1,6,14,13,13
"GP","F",16,"U","LE3","T",3,1,"other","other","home","father",14.5044435756281,4.9669395191595,0,"yes","yes","no","no","yes","yes","no","no",3,3,3,2,3,2,0,12,13,12
"GP","F",16,"U","GT3","T",4,2,"teacher","services","home","mother",24.234147851821,2.41581114567816,0,"no","yes","no","yes","yes","yes","yes","no",5,3,3,1,1,1,2,13,14,14
"GP","M",15,"U","LE3","T",2,2,"services","health","reputation","mother",10.7479320219718,13.9420768653508,0,"no","yes","no","yes","yes","yes","yes","no",4,3,4,1,1,4,2,11,12,12
"GP","F",15,"R","GT3","T",1,1,"at_home","other","home","mother",20.0649823027197,13.2179257029202,0,"yes","yes","yes","yes","yes","yes","yes","no",3,1,2,1,1,1,4,13,13,13
"GP","M",16,"R","GT3","T",4,3,"services","other","reputation","mother",29.8111563152634,1.57863790774718,0,"yes","yes","yes","yes","no","yes","yes","no",3,3,3,1,1,4,6,9,11,11
"GP","F",16,"U","GT3","T",2,1,"other","other","course","mother",14.4245168236084,3.67279809922911,0,"no","yes","no","no","yes","yes","no","yes",4,3,5,1,1,5,0,13,12,12
"GP","F",16,"U","GT3","T",4,4,"other","other","reputation","mother",9.10474700387567,1.42220314475708,0,"no","no","no","yes","no","yes","yes","no",5,3,4,1,2,1,4,12,13,13
"GP","F",16,"U","GT3","T",4,3,"other","at_home","course","mother",6.33913770411164,5.87400827556849,0,"yes","yes","no","no","yes","yes","yes","no",5,3,5,1,1,3,2,12,13,13
"GP","M",16,"U","GT3","T",4,4,"services","services","other","mother",10.1671377625316,1.80673338728957,0,"yes","yes","no","yes","yes","yes","yes","no",4,5,5,5,5,4,12,9,9,8
"GP","M",16,"U","GT3","T",4,4,"services","teacher","other","father",3.4032111489214,5.68256834056228,0,"no","yes","no","yes","yes","yes","yes","yes",4,4,3,1,1,4,0,16,16,16
"GP","M",15,"U","GT3","T",4,4,"services","other","course","mother",8.95819024043158,1.81110264547169,0,"no","yes","yes","yes","no","yes","yes","no",5,3,3,1,1,5,2,12,13,12
"GP","F",15,"U","GT3","T",3,2,"services","other","home","mother",15.5476171709597,2.52844491344877,0,"yes","yes","no","no","yes","yes","yes","no",4,3,5,1,1,2,16,11,10,10
"GP","M",15,"U","GT3","A",3,4,"services","other","course","mother",6.13846363779157,4.48338502668776,0,"no","yes","no","yes","yes","yes","yes","no",5,4,4,1,1,1,0,16,16,16
"GP","F",15,"U","GT3","A",3,3,"other","health","reputation","father",13.7165275211446,14.5422100578435,0,"yes","no","no","no","yes","yes","no","no",4,3,3,1,1,4,10,10,10,10
"GP","F",15,"U","GT3","T",2,2,"other","other","course","mother",4.51831162115559,11.8045680527575,0,"yes","yes","no","no","yes","yes","yes","no",5,1,2,1,1,3,4,10,10,10
"GP","M",16,"U","GT3","T",3,3,"services","other","home","father",1.20405240776017,5.81028457731009,0,"no","yes","no","yes","yes","yes","yes","no",5,3,3,1,1,5,4,13,14,14
"GP","M",15,"R","GT3","T",4,4,"other","other","home","father",97.931871288456,10.67639339366,0,"no","yes","no","yes","yes","yes","yes","yes",1,3,5,3,5,1,8,12,10,11
"GP","F",16,"U","LE3","T",4,4,"health","health","other","mother",1.68886192003265,8.70709791546687,0,"no","yes","no","yes","yes","yes","yes","yes",5,4,5,1,1,4,2,15,15,14
"GP","M",15,"U","LE3","A",4,4,"teacher","teacher","course","mother",13.3032738282345,1.6972419063095,0,"no","no","no","yes","yes","yes","yes","no",5,5,3,1,1,4,4,13,14,14
"GP","F",16,"R","GT3","T",3,3,"services","other","reputation","father",10.4237138698809,6.24128819676116,0,"yes","yes","no","yes","yes","yes","yes","no",4,1,2,1,1,2,4,11,11,11
"GP","F",16,"U","GT3","T",2,2,"at_home","other","home","mother",1.53597253840417,4.24759779614396,1,"yes","no","no","yes","yes","yes","yes","no",3,1,2,1,1,5,12,8,10,10
"GP","M",15,"U","LE3","T",4,2,"teacher","other","course","mother",14.2329236208461,1.97470397059806,0,"no","no","no","no","yes","yes","yes","no",3,5,2,1,1,3,10,18,17,18
"GP","M",15,"R","GT3","T",2,1,"health","services","reputation","mother",9.87985059106722,3.44984632986598,0,"no","no","no","yes","yes","yes","yes","yes",5,4,2,1,1,5,4,10,9,10
"GP","M",16,"U","GT3","T",4,4,"teacher","teacher","course","father",11.1445709392428,2.68903541960754,0,"no","yes","no","yes","yes","yes","yes","no",5,4,4,1,2,5,6,16,14,14
"GP","M",15,"U","GT3","T",4,4,"other","teacher","reputation","father",24.7910376114305,3.21111326967366,0,"no","yes","no","yes","yes","yes","no","no",4,4,3,1,1,2,4,16,15,16
"GP","M",16,"U","GT3","T",3,3,"other","services","home","father",28.3304248529021,1.47360627423041,0,"no","no","no","yes","yes","yes","yes","no",5,4,2,1,1,5,6,14,14,15
"GP","M",17,"R","GT3","T",1,3,"other","other","course","father",58.8078323809896,3.62373814103194,1,"no","yes","no","yes","yes","yes","yes","no",5,2,4,1,4,5,14,12,11,11
"GP","M",15,"U","GT3","T",3,4,"other","other","reputation","father",3.09701069397852,1.48105548857711,0,"no","no","no","no","yes","yes","yes","no",3,4,3,1,2,4,2,14,13,14
"GP","F",15,"U","GT3","T",1,2,"at_home","services","course","mother",9.91420290526003,2.99760660110041,0,"no","no","no","no","no","yes","yes","no",3,2,3,1,2,1,0,14,14,14
"GP","M",15,"U","GT3","T",2,2,"services","services","home","father",13.2233300055377,13.119402899174,0,"no","yes","no","yes","yes","yes","yes","no",5,5,4,1,2,5,6,14,13,13
"GP","F",16,"U","LE3","T",2,4,"other","health","course","father",15.6937565398403,4.02759776986204,0,"no","yes","no","yes","yes","yes","yes","yes",4,2,2,1,2,5,2,14,12,13
"GP","M",16,"U","GT3","T",4,4,"health","other","course","mother",9.08698091423139,1.7063449928537,0,"no","yes","no","yes","yes","yes","yes","no",3,4,4,1,4,5,4,12,13,13
"GP","F",16,"U","GT3","T",2,2,"other","other","home","mother",4.20338637148961,3.53487637685612,0,"no","no","no","no","yes","yes","yes","yes",5,4,4,1,1,5,0,12,11,11
"GP","M",15,"U","GT3","T",3,4,"services","services","home","father",9.44447598652914,1.99301513005048,0,"yes","no","no","no","yes","yes","yes","no",5,5,5,3,2,5,2,9,9,9
"GP","F",15,"U","LE3","A",3,4,"other","other","home","mother",4.12264541955665,3.72646450414322,0,"yes","no","no","yes","yes","yes","yes","yes",5,3,2,1,1,1,0,10,11,11
"GP","F",19,"U","GT3","T",0,1,"at_home","other","course","other",9.06191018177196,3.87326516956091,2,"no","yes","no","no","no","no","no","no",3,4,2,1,1,5,0,9,10,11
"GP","M",16,"R","GT3","T",4,4,"teacher","teacher","course","mother",13.5840631639585,1.86880612722598,0,"no","no","no","yes","yes","yes","yes","no",3,5,5,2,5,4,8,14,14,15
"GP","M",16,"U","GT3","T",2,3,"other","other","course","mother",20.6648843816947,6.96776622207835,0,"no","yes","no","no","no","yes","yes","yes",3,2,3,2,2,1,4,13,12,13
"GP","F",15,"R","GT3","T",3,4,"services","teacher","course","father",27.2818641224876,6.00041970261373,0,"no","yes","no","no","yes","yes","yes","yes",4,2,2,2,2,5,0,10,11,12
"GP","F",18,"U","GT3","T",2,1,"services","other","reputation","mother",9.10386567516252,4.81546664959751,3,"no","yes","no","yes","yes","no","yes","yes",5,4,5,1,3,5,10,10,9,8
"GP","F",17,"U","LE3","A",2,1,"other","other","course","mother",46.373362391023,1.65738976676948,0,"no","yes","no","no","yes","yes","yes","no",3,2,2,1,2,5,8,11,10,11
"GP","F",15,"U","GT3","T",1,1,"at_home","other","course","mother",53.1213823333383,1.59612312773243,0,"no","yes","no","yes","no","yes","yes","yes",4,3,3,1,2,4,6,11,12,13
"GP","F",17,"U","LE3","T",2,2,"other","other","course","father",14.7521157260053,1.09608373092487,0,"no","yes","no","no","yes","yes","yes","yes",3,4,4,1,3,5,2,13,12,12
"GP","F",16,"U","GT3","A",3,4,"services","other","course","father",14.4248233917169,1.88435638695955,0,"no","no","no","no","yes","yes","yes","no",3,2,1,1,4,5,12,15,13,14
"GP","M",16,"U","GT3","T",2,1,"at_home","other","course","mother",111.558813583106,1.16066456167027,0,"no","no","no","no","yes","yes","no","no",3,2,1,1,1,2,4,9,9,11
"GP","F",16,"U","GT3","A",2,2,"other","other","home","mother",13.338569726795,1.24976159958169,1,"no","no","no","no","yes","yes","no","no",5,3,4,1,1,5,12,13,11,11
"GP","M",15,"R","GT3","T",3,4,"at_home","teacher","course","mother",81.0626955097541,3.16542304749601,0,"no","yes","no","no","yes","yes","no","yes",5,3,3,1,1,5,2,12,11,11
"GP","F",15,"U","GT3","T",4,4,"services","at_home","course","mother",13.0819854182191,7.47506832121871,0,"no","yes","no","yes","yes","yes","yes","yes",4,3,3,1,1,5,4,13,14,15
"GP","M",17,"R","GT3","T",3,4,"at_home","other","course","mother",55.8033583452925,4.23910592729226,0,"no","no","no","no","yes","yes","no","no",5,4,5,2,4,5,2,10,9,10
"GP","F",16,"R","GT3","T",1,1,"at_home","other","course","mother",82.2390282014385,2.09357872628607,0,"no","yes","no","no","yes","yes","no","no",5,1,3,1,1,3,0,14,13,13
"GP","M",18,"U","LE3","T",3,1,"services","services","course","mother",24.4865780754481,1.79081524768844,0,"no","no","no","yes","yes","yes","yes","yes",3,3,4,4,5,4,2,11,11,12
"GP","F",18,"U","GT3","A",3,2,"other","services","course","other",12.8995216866024,8.72613314306363,0,"no","yes","no","yes","no","yes","yes","yes",4,3,3,5,1,5,10,12,11,11
"GP","F",16,"R","GT3","T",1,1,"other","services","reputation","mother",26.224402586231,1.93544049793854,0,"no","yes","no","yes","yes","yes","no","yes",3,3,3,1,2,1,8,12,11,11
"GP","F",16,"U","GT3","A",3,3,"other","other","course","other",29.5562680321746,1.67512454139069,0,"no","yes","no","yes","no","yes","yes","yes",4,3,2,1,1,5,4,9,9,10
"GP","M",16,"U","LE3","T",1,1,"services","other","course","mother",12.1739399610087,2.22676564776339,2,"no","no","no","no","yes","yes","no","yes",4,4,4,1,3,5,0,10,10,10
"GP","F",15,"U","GT3","T",4,4,"teacher","teacher","course","mother",17.7963576768525,1.87879854929633,0,"no","no","no","yes","yes","yes","yes","no",4,3,2,1,1,5,6,13,14,14
"GP","F",15,"R","GT3","T",1,1,"other","other","course","mother",55.0365683832206,1.3511515550781,1,"no","no","no","yes","yes","yes","yes","yes",5,5,5,1,1,1,2,8,9,9
"GP","M",15,"U","GT3","T",4,3,"teacher","services","course","father",15.4030439187773,11.5606907091569,0,"yes","yes","no","no","yes","yes","yes","no",2,2,2,1,1,3,6,9,11,11
